,Timestamp,Device Type,Pulse,Temp,Proximity,Ambient Noise,Movement Pattern,Stress Indicator,User Behavior,ZPulse,ZTemp,ZAmbNoise
0,01-11-2023 15:56,Earring,113,99.3,Medium,66,Irregular,Yes,Sedentary,0.886989471208385,1.277428196143338,0.0008725030585036603
1,12-11-2023 12:29,Ring,76,98.6,Low,55,Irregular,No,Sedentary,-0.7758068217799239,-0.08009379763280527,-0.5323238104714907
2,09-11-2023 10:58,Earring,92,99.3,Medium,77,Normal,Yes,Active,-0.056759776163357915,1.277428196143338,0.534068816588498
3,28-11-2023 11:53,Ring,112,98.2,Low,87,Irregular,Yes,Sedentary,0.8420490308573496,-0.8558206512191532,1.018792737979402
4,08-11-2023 00:22,Ring,66,98.8,Low,77,Irregular,No,Sedentary,-1.2252112252902776,0.3077696291603825,0.534068816588498
5,19-11-2023 09:29,Earring,62,97.9,High,51,Irregular,No,Stressed,-1.4049729866944192,-1.437615791408921,-0.7262133790278523
6,29-11-2023 16:42,Ring,96,98.3,High,66,Irregular,No,Active,0.1230019852407836,-0.6618889378225731,0.0008725030585036603
7,21-11-2023 12:24,Earring,74,98.8,High,94,Irregular,No,Stressed,-0.8656877024819947,0.3077696291603825,1.3580994829530348
8,11-11-2023 03:14,Shoe,90,99.1,High,35,Normal,Yes,Stressed,-0.14664065686542868,0.8895647693501503,-1.5017716532532988
9,18-11-2023 19:20,Ring,116,98.5,Medium,43,Normal,Yes,Sedentary,1.0218107922614912,-0.2740255110293853,-1.1139925161405755
10,18-11-2023 20:38,Earring,77,98.2,Low,42,Normal,No,Calm,-0.7308663814288886,-0.8558206512191532,-1.1624649082796659
11,24-11-2023 02:43,Shoe,65,98.3,Low,94,Normal,No,Stressed,-1.270151665641313,-0.6618889378225731,1.3580994829530348
12,15-11-2023 05:23,Earring,89,98.8,Medium,76,Irregular,No,Calm,-0.19158109721646405,0.3077696291603825,0.48559642444940765
13,29-11-2023 04:38,Shoe,62,98.0,High,46,Normal,No,Calm,-1.4049729866944192,-1.2436840780123408,-0.9685753397233043
14,09-11-2023 05:21,Earring,80,99.0,Low,75,Irregular,No,Sedentary,-0.5960450603757824,0.6956330559535702,0.43712403231031727
15,15-11-2023 21:37,Ring,162,98.7,High,49,Irregular,Yes,Active,3.0890710484091186,0.11383791576380238,-0.8231581633060331
16,06-11-2023 03:53,Shoe,103,98.6,Low,95,Irregular,Yes,Calm,0.43758506769803124,-0.08009379763280527,1.4065718750921252
